Title,Artist,Count
24-25,Kings of Convenience,15832155
Promise,Ben Howard,67843221
I Met Up With The King,First Aid Kit,5975724
Waitin' For A Superman,Iron & Wine,4243381
Wrapped In Piano Strings,Radical Face,11934492
Blowin' in the Wind,Bob Dylan,72092503
The Wild Hunt,The Tallest Man On Earth,11061539
Let It Go,Fossil Collective,446942
In Our Talons,Bowerbirds,5124899
Child,Edward Sharpe & The Magnetic Zeros,4793911
Silver Raven,Gene Clark,1128704
You and I,Ingrid Michaelson,91238164
The Way We Move,Langhorne Slim,30422843
Die Die Die,The Avett Brothers,4425412
Molly Malone,The Dubliners,4883885
Mango Tree,Angus & Julia Stone,31686094
He Doesn't Know Why,Fleet Foxes,12298570
Something Or Nothing,Pale Seas,386088
Juodaan Viinaa,Korpiklaani,2516701
Winter Birds,Ray LaMontagne,9315849
Beach Baby,Bon Iver,51125348
Into Giants,Patrick Watson,2486853
For Emma,Bon Iver,49660690
Guest of the Government,Admiral Fallow,604420
Traktor,Francis,806627
Jolene,Ray LaMontagne,100313055
Land Locked Blues,Bright Eyes,8778596
Folsom Prison Blues - Live,Johnny Cash,122479449
Big Black Car,Gregory Alan Isakov,63781023
Bottom of the River,Delta Rae,15469433
Blue Spotted Tail,Fleet Foxes,11663729
Ghosts That We Knew,Mumford & Sons,53577513
Blut im Auge,Equilibrium,5373978
"Gone, Gone, Gone",Phillip Phillips,135288330
The Shrine / An Argument,Fleet Foxes,9002261
Civilian,Wye Oak,21763222
Chinese Translation,M. Ward,17725154
Full Moon Rising,Neil Halstead,1132185
Rox In The Box,The Decemberists,7893442
Part Time Believer,Boy & Bear,3995474
Falling Slowly,Glen Hansard,59753208
Perfectly Aligned,Milo Greene,1776668
That Moon Song,Gregory Alan Isakov,10317523
Misread,Kings of Convenience,35297851
Higher Love,James Vincent McMorrow,92861076
2 Atoms In A Molecule,Noah And The Whale,15116430
The Diaz Brothers,The Mountain Goats,945393
Beth/Rest,Bon Iver,28693429
The First Time I Ran Away,M. Ward,2091925
The Water (feat. Laura Marling),Johnny Flynn,8253557
Santa Maria de Feira,Devendra Banhart,11324178
Birmingham,Shovels & Rope,19398329
Where Do My Bluebird Fly,The Tallest Man On Earth,10510994
Man On Fire,Edward Sharpe & The Magnetic Zeros,30162686
Home Again,Michael Kiwanuka,59303806
Between the Bars,Elliott Smith,71706219
Oliver James,Fleet Foxes,11536441
The Trapeze Swinger,Iron & Wine,18979336
Demon Host,Timber Timbre,11481239
"Take Me Home, Country Roads - Rerecorded",John Denver,212628273
The Sparrow and the Medicine,The Tallest Man On Earth,3830174
Hurricane,Bob Dylan,91684840
Father And Son,Yusuf / Cat Stevens,160284264
Charlie Boy,The Lumineers,37402756
Call and Response,"Or, The Whale",592076
White Tooth Man,Iron & Wine,2575065
Girl with the Red Balloon,The Civil Wars,8502736
Better Together,Jack Johnson,334304387
When I Go,Slow Club,2944618
Ain't No Reason,Brett Dennen,48241119
