Title,Artist,Count
Fly,Maddie & Tae,33898668
Somethin' I'm Good At,Brett Eldredge,50414651
Whatever She's Got,David Nail,82088410
Happens Like That,Granger Smith,61705586
Sunshine & Whiskey,Frankie Ballard,73940446
Songs We Sang,Levi Hummon,6201936
Chevrolet DJ,Cole Swindell,6240924
Good Directions,Billy Currington,76618888
Mercy,Brett Young,102564046
Kinda Don't Care,Justin Moore,28493850
Hold You Back,Ryan Hurd,19336957
I Was Jack (You Were Diane),Jake Owen,63981434
Better Me,Montgomery Gentry,5111747
California,Eric Ethridge,2898924
Sleep Without You,Brett Young,118604296
Me and You,Kenny Chesney,9520510
Write This Down,George Strait,36939682
Buy Myself A Chance,Randy Rogers Band,13916788
I Don't Even Know Your Name,Alan Jackson,4840066
If I Told You,Darius Rucker,70332017
Rain Is A Good Thing,Luke Bryan,63463293
Hurt,Johnny Cash,297080739
If the Boot Fits,Granger Smith,22825542
Happy People,Little Big Town,17184715
Cry Pretty,Carrie Underwood,34611752
Norma Jean Riley,Diamond Rio,5057974
Blowing Smoke (feat. DJ KO),Taylor Ray Holbrook,4006112
7 & 7,Turnpike Troubadours,23120055
I Don't Dance,Lee Brice,134351433
Heartbeat,Carrie Underwood,45181910
All My Rowdy Friends Are Coming Over Tonight,"Hank Williams, Jr.",9191355
Somewhere On A Beach,Dierks Bentley,102559243
Make It Sweet,Old Dominion,42530666
Take It From Me,Jordan Davis,86328124
Bar at the End of the World,Kenny Chesney,25810085
You Never Even Called Me By My Name,David Allan Coe,29892493
Almost Home,Craig Morgan,30866168
A Thousand Miles from Nowhere,Dwight Yoakam,12960589
Goodbye Earl,Dixie Chicks,24624999
Bubba Shot The Jukebox,Mark Chesnutt,12222617
Fool Hearted Memory,George Strait,6555686
That Ain't My Truck,Rhett Akins,14587082
That's What I Love About Sunday,Craig Morgan,41417488
Mercury Blues,Alan Jackson,442179
Wasn't That Drunk (feat. Carly Pearce),Josh Abbott Band,30585963
This Kiss,Faith Hill,45263700
There Goes My Life,Kenny Chesney,26913166
Days Go By,Keith Urban,25077015
Long Live Tonight,LANCO,26486578
Chills,James Barker Band,21759175
Wrong Turns,Old Dominion,27314554
Fishin',Chris Lane,5517334
Fast Girl,Seth Ennis,2289178
