,Title,Artist,Rank,Peak Position,Last Position,Weeks,Lyrics
420,Maze,Juice WRLD,65,65,0,1,"stuck maze oh, oh, oh, oh, oh, oh stuck maze, mmh stuck maze everything's okay really okay life's death race  numbing pain codeine rain  going insane life's stuck maze  going brain going everywhere  tormented every day mama,  losing mental sorrows i've story continued sip ill, pop pills, crack seals anything numb weight feel, yeah chase thrills, still crashin' hot wheels ride dirt bike ditch, see live  subconscious,  conscious tell help me, got watch this, took demons bank life made biggest deposit without drugs,  losing logic pills pro tools still got logic run, run, run run, run, run stuck maze everything's okay really okay life's death race  numbing pain codeine rain  going insane life's stuck maze  going brain going everywhere  tormented every day mama,  losing mental sorrows i've story continued"
421,What Makes You Country,Luke Bryan,90,54,66,11,"people talkin' bout aint country gives em right wear pair beat-up boots? size tires fires, wild ass buddies? well, give minute, let hit hometown truth could cowboy texas plain plowboy waitin rain little different, everybody doin' thing got dirt road cred twelve cab tractor hauling bales backing boats, fishing limb lines running bird dogs georgia pines step side cover peanut dust friday night spotlight, us might , can't judge proud makes country run blood? come daddy mama? converted alabama song radio? feels right lock eyes little green-eyed girl jackson? tell got ya, gotta know me, got sunday learning live oak church silver queen corn backyard dirt waiting fall finally come along grab gun get outside step side cover peanut dust friday night spotlight, us might , can't judge proud makes country might city little farm town whatever kind square drove around wear sleeve keep deep down? know gotta let got dirt road cred back twelve cab tractor hauling bales backing boats, fishing limb lines running bird dogs georgia pines step side cover peanut dust friday night spotlight, us might , ain't judging proud makes country whatever makes country kind country kind country kind country whatever makes us country"
422,Flaws And Sins,Juice WRLD,91,91,0,1,"vibe bitch, though lighter nah, room oh uh-huh work numbers, work wonders done woke eternal slumber  lightning, re thunder there's difference 'tween, 'i need ,' and, 'i want ' girl, need good sex led conversations getting little deeper, uh tell darkest secrets, shit wouldnt even tell jesus, uh karma tweaking much, even believe karma give reason thank god recent falls percocet , ate, getting done chilled drugs since involved suck like law, fuck like law protection heart, god damnit,  gon' hit raw traumatized past, yeah, keep log mind, head, shit belong say bread, shit, hope wrong already ran bands, could ball hit back, humina, call play, huddle good love bedroom fuck prada, poke face like lady gaga ride like mazda, zoom zoom zoom  all, im really love flaws sins scars really gorgeous aint weird way give compliments?  im really fell love flaws sins scars really gorgeous see light darkness whoa 'atta boy, done turned man hot chills skin skin hope know ever try end gon' catch couple f&n mean cupid ain't give headshot aint got choice leave headshot look way make fucking bed rock, uh ring finger at? need wedlock got sights ass, ooh, red dot bats made hell, ooh, red hot don't, ayy, go night, bitch, stop ain't even gon' finished 'til sun's  all,  really love flaws sins scars really gorgeous ain't weird way giving compliments?  all,  really love flaws sins scars really gorgeous that's way giving compliments  all,  really love flaws sins scars really gorgeous ain't weird way give compliments?  all,  really fell love flaws sins scars really gorgeous see light darkness"
423,Nights Like This,Kehlani Featuring Ty Dolla $ign,95,67,79,9,"act like need remindin' tryna over, bring back rewind glitters gold, blinded never gave heart consignment can't believe lies went thought mine, decided though took feelings threw 'em window feel like hard fall love again, nights like this, shawty, can't help think us i've reminiscin', sippin', missin' ya tell what's distant love? called, would pick up? nights like this, wanna text , what? gon' say want me, go switch gon' play emotions because, (oh) times played fool thinkin' could put back together, thought forever never see point view connection severed, show effort can't believe lies went thought mine, decided though took feelings threw 'em window feel like hard fall love again, nights like this, shawty, can't help think us i've reminiscin', sippin', missin' ya tell what's distant love? called, would pick up? nights like this, wanna text , what? gon' say want me, go switch gon' play emotions because, (oh) gon' get hopes high, girl gon' get hopes high, girl gon' tell lies, girl gon' get hopes high, girl i've way good , take granted day one since back big b's house adams first day met, flagged down, told , 'hit line' used promise never switch like gemini think  fool, ain't nobody stupid see signs, see clues yeah, sometimes reminisce 'bout shit  bingin' can't believe whole year, yeah, but... nights like this, shawty, can't help think us i've reminiscin', sippin', missin' ya (missin' ya) tell what's distant love? (love) called, would pick up? nights like this, wanna text , what? gon' say want me, go switch (switch up) gon' play emotions because, (oh) gon' get hopes high, girl gon' get hopes high, girl gon' tell lies, girl gon' get hopes high, girl"
424,Always Remember Us This Way,Lady Gaga,100,41,64,9,"arizona sky burnin' eyes look babe, wanna catch fire buried soul like california gold found light couldnt find  choked can't find words every time say goodbye, baby, hurts sun goes band play i'll always remember us way lovers night poets tryna write know rhyme, damn, try really know wanna go part that's never die  choked can't find words every time say goodbye, baby, hurts sun goes band play i'll always remember us way oh yeah wanna memory, baby, yeah hoo, hoo, hoo, hoo, hoo, hoo hoo, hoo, hoo, hoo, hoo, hoo hoo, hoo, hoo, hoo, hoo hoo hooooooooo  choked can't find words every time say goodbye, baby, hurts sun goes band play i'll always remember us way way yeah look whole world fades i'll always remember us way oooh, oooh, hmmmm oooh, oooh, hmmmm"
425,Leave Me Alone,Flipp Dinero,45,20,37,25,"yeah, yeah yeah, miss got time (damn, yeah) yeah ng forever ayy, yeah, ayy yeah, miss got time could ? wish never played time (damn) claiming lady, got time could move like crazy? ain't call back (damn) leave alone drunk fuck bitch dumb fuck running bucks (d-damn, ayy) leave alone drunk fuck bitch, dumb fuck bitch, done what? (yeah) leave alone drunk fuck bitch, dumb fuck running bucks (damn, ayy) leave alone yeah, yeah, yeah, yeah (ayy) yeah, miss got time lil' lady, drive crazy fine (damn) gon' play me? ain't fine thinking 'bout daily smoking crazy  tech (damn) flexin', oh, flexing always told star goals checklist (damn) question, oh, check message knew fuck bitch start texting (damn) demon, cold (yeah) leave  gone (yeah) fiendin', (yeah) dreaming, (yeah) drop coupe dropping top car (ayy) cannot love bitch fucking clique man, playing part (yeah, damn, ayy) life bitch, knew shit start (ayy) told walk bitch leave shit dark (like damn) leave alone drunk fuck bitch, dumb fuck running bucks (damn, ayy) leave alone drunk fuck bitch, dumb fuck bitch, done what? (yeah) leave alone drunk fuck bitch, dumb fuck running bucks (damn) leave alone yeah, yeah, yeah, yeah can't play me,  wavy sipping purple 'til  lazy like throwback ayisyen, ain't know that? hit bop like  lil kodak block ain't good can't sweat ,  like, 'who that?' can't sweat , (nah, nah, ayy) tell truth ain't want depart (ayy) wanted can't fuck 'cause different, can't play part (no, damn, ayy) tell truth wanted start (ayy) cannot fuck bitch can't love bitch playing part (like damn) leave alone drunk fuck bitch, dumb fuck running bucks (damn, ayy) leave alone drunk fuck bitch, dumb fuck bitch, done what? (yeah) leave alone drunk fuck bitch, dumb fuck running bucks (damn, ayy) leave alone yeah, yeah, yeah, yeah"
426,Mo Bamba,Sheck Wes,47,6,43,28,"yrold bitch! daytrip took got hoes callin' ng nigga phone (ring, ring) where's ali mothafuckin' dope? (bitch, bitch) ballin' like mothafuckin' pro (like a, huh, like a, huh) ballin' like nigga mo (bamba, bitch) sheck wes, ain't mothafuckin' joke (haha, hahahahaha) steph wes, stay fuckin' pole (pa, pa, pa-pa) fuck around get poled ( get poled, bitch) 'cause got hoes (so many fuckin' hoes) callin' ng nigga phone (ring-ring, ring, ring-ring, ring, ring-ring) where's ali (bitch the) mothafuckin' dope? (huh) ballin' like mothafuckin' pro (like mothafuckin' pro) ballin' like nigga mo (bamba, bamba) sheck wes got many flows (i all) call drake, nigga contro oh! fuck! shit! bitch! (huh) yeah, sheck wes  gettin' really rich (ching-ching) see caught 'cause  really shits (ping-ping) see streets really (cling, cling), bad bitch (bitch), niggas straight rockin' (rock) niggas straight see me, see me, coppin' (what?)  best drug dealer, nigga, come cop (got it) ng sheck wes,  like fuckin' green goblin (hahahaha) got hoes (hoes, ho) callin' ng nigga phone, phone (bitch) where's ali mothafuckin' dope? (with mothafuckin' dope) dope (with mothafuckin' dope) mothafuckin' dope (bitch) dope (gettin' rich), bros (bitch, shit) fucked ho (shit) ain't even let know (shit fucked up) damn, nigga nice, fuck talking about? ('cause got) bitch (hoes) nigga one-six, nigga ali, daytrip nigga, fuck niggas talking about? (i got hoes, shit ng sheck wes, go) uh, woah, uh"
427,Burn Out,Midland,63,63,69,9,"watchin' cigarettes burn 'til neon gets turned fire hurts fast cigarette burn watchin' rivers run side bottle almost like cryin' tears world string lost everything that's wound watchin' cigarettes burn 'til neon gets turned there's nothing left empty glasses flashes smokin' memory ain't nothin' ashes low lights done-me-wrong songs hit right fire hurts fast cigarette burn put hands flame got right complain 'cause know gonna leave mark glow comes end like scattered embers wind leaves lookin' brand new spark watchin' cigarettes burn every hit  gonna quit kiddin'? can't put keep hangin' around watchin' cigarettes burn 'til neon gets turned there's nothing left empty glasses flashes smokin' memory ain't nothin' ashes low lights done-me-wrong songs hit right fire , hurts fast cigarette burn fire , hurts fast cigarette burn"
428,Red Room,Offset,73,49,50,3,"woo  maniac, go crazy cash (hey, brazy) green lamborghini, paper tags (skrrt, skrrt) ridin city, mags (brrt, bow) niggas snitchin', police badge (woo, woo, woo) grew up, momma dad (momma, huh) blew put pad (mansion) like throw think crash (ugh, ugh) playin', hit tree smell gas (hey, hey) lookin sky, think past (sky) used kick door, shoot cash (boot, boot, boot) everybody hit floor 'fore make mad (floor) devil nigga soul livin' fast (soul) prayin' lord, soul keep (keep) controllin' (me), take hold (hold) bitches ain't shit, got exposed e! ('sposed) naive (so), cold streets (streets) sleep feet (feet) money turn homies zombies, eat (zombies) miss grandma, humble sweet (grandma) speak, let check talk (check, woo) cant sleep less tec reach (tec) hit dope, make choke, make wheeze (choke) sip dope, help pain ease (hey) tryna get money 'fore clean, dirty (dirty) playin football, hide fire girdle (fire) gettin' locked up, runnin' round circle (circle) brother caught fifteen like murder (murder, murder, murder, murder) whole family hurtin' (hurtin, hurtin', hurtin', hurtin') tryna see light pull curtain (curtain, curtain, curtain, curtain) night time lurkin' (night, night) momma said streetlights 'bout stop workin' (light, light, light) lookin' momma eyes (momma) lookin' like new person (new person) tellin' need slow (slow down) pain go away percy (slow down) rap working (wasn't working) living trap, circus (trap circus) see grandma hearse (grandma) pistol p gone casket shot's fired, nigga blasting (brrt) cops, arrive, start smashing (woop, woop) opps, shoot shots like mavericks (opps) vaults, put cash stash (stash) flop, numbers can't imagine (hey) money tunnel roof panoramic (skrrt) count bundles 'til hand start crampin' (cramp) come drip, need napkin (hey)  maniac go crazy cash (hey, brazy) green lamborghini, paper tags (skrrt, skrrt) ridin' city, mags (brrt, bow) niggas snitchin', police badge (woo, woo, woo) grew up, momma dad (momma, huh) blew put pad (mansion) like throw think crash (ugh, ugh) playin', hit tree smell gas (hey, hey) lookin' sky, think past (sky) used kick door, shoot cash (boot, boot, boot) everybody hit floor 'fore make mad (floor) devil nigga soul livin' fast prayin' lord, soul keep (keep) controllin' (me), take hold (hold) bitches ain't shit, got exposed heat ('sposed) naive (so), cold streets (streets) crossed brother (woo, woo) ain't rules street, trust 'em ran go bust police 'bout kick door, gotta flush ridin' backstreets thinkin' 'bout brother prayin' come home loving mother can't believe got gutter facetime 'round three, mike puddle 'posed take it? (how?) niggas dyin' 'round time baby (hoo) go operator (operator) let gang know pistol ain't 'gon make (he ain't 'gon make it) mind going brazy (brazy) got feeling like cause hatred ( cause it) holdin' revolver laser (boop) done killed nigga, start war, bring nation (brrt, brrt, brrt, brrt) got boss situation (boss) military basis travel 'cross nation (military) double cup maple (hoo) abomination paper, got acres black man walking labeled beat odds, wanna see greater eat alive like lion 'gator mommas crying cause police shot babies crooked, motherland done took (crooked) take us lock us throw booklet (take us) started rapping shook (shook it) hate fame, everybody keep looking (fame) done sold brooklyn (sold out) man, miss grandma cookin' (grandma) treat like 'cause  gifted (don, don)  run money up, gotta go get (hey)  maniac go crazy cash (hey, brazy) green lamborghini, paper tags (skrrt, skrrt) ridin' city, mags (brrt, bow) niggas snitchin', police badge (woo, woo, woo) grew up, momma dad (momma, huh) blew put pad (mansion) like throw think crash (ugh, ugh) playin', hit tree smell gas (hey, hey) lookin' sky, think past (sky) used kick door, shoot cash (boot, boot, boot) everybody hit floor 'fore make mad (floor) devil nigga soul livin' fast prayin' lord, soul keep (keep) controllin' (me), take hold (hold) bitches ain't shit, got exposed heat ('sposed) naive (so), cold streets (streets)"
429,Whip,2 Chainz Featuring Travis Scott,75,75,0,1,"yeah hands, yeah, it, handstand really wanna keep us outside 'cause know go way live whippin' again, whippin' whippin' whippin' again, yeah back again, back it, back it, back winter, summer range rovers black hummers ain't go dumb, went dumber go down, go (yeah) whippin' again, whippin' whippin' whippin' again, yeah back again, back it, back it, back winter, summer range rovers black hummers ain't go dumb, went dumber go down, go sell bird, kfc (bird) twenty llc's (yeah) 'alexa, play,' played me? (me) made mil' like meek (alright) pick side, in-between roll l winning team king like billie jean (billie) want smoke, yeah, nicotine (smoke) finer fashion nova? wanna really see what's jeans lace front real hair extension, quick weave? (what?)  'bout lines 'em partition blinds pulled deal table arm & hammer, gon' sign 'em yeah back again, whippin' again, again, yeah (yeah) east, park benz sand, yeah (yeah) skrrt block, hittin' crib, advance, yeah (yeah) rip shirt, rip the, rip the, rip pants hands, yeah, it, handstand throw bands in, throw bands really wanna keep us outside (outside) 'cause know go way live (too live) turnt club (too turnt up) am, ain't fucked gle, benz yeah, really depends (yeah) yeah,  covered,  drenched wet floor signs, hope slip (slip) yeah, homie crip (woo) seafood shrimp (damn) money tall, gon' need stilts (tall) rap go league blimp, uh hit home run bunt, yeah (out here) whatever want, yeah maybach five years still never sat front, yeah bought designer, lil' mama,  proud got body, pick lineup ever leave me,  comin' find whip kitchen like chef katanas yeah back again, whippin' again, again, yeah (whip it, whip) east, park benz sand, yeah (yeah) skrrt block, hittin' crib, advance, yeah (yeah, yeah) rip shirt, rip the, rip the, rip pants hands, yeah, it, handstand (do it, it) throw bands in, throw bands really wanna keep us outside 'cause know go way live (yeah) turnt club am, ain't fucked (yeah) whippin' again, whippin' whippin' whippin' again, yeah back again, back it, back it, back winter, summer range rovers black hummers ain't go dumb, went dumber go down, go whippin' again, whippin' whippin' whippin' again, yeah back again, back it, back it, back winter, summer range rovers black hummers ain't go dumb, went dumber go down, go"
430,Armed And Dangerous,Juice WRLD,82,44,79,17,"lil peep - sex ex trippie redd - toxic waste imagine dragons - bad liar madison beer - hurts like hell (featuring offset) xxxtentacion - bad juice wrld - armed dangerous jon bellion - blu whethan - top shelf (featuring bipolar sunshine) tee grizzley - bitches bitches (featuring lil pump) kane brown - lost middle nowhere (featuring becky g) ariana grande - thank u, next lil durk - grand (featuring ty dolla $ign, boogie) anderson .paak - r u? henry hudson - slide (featuring jaden smith) they. - months (featuring ty dolla $ign) muse - propaganda jonas blue - wherever go (featuring jessie reyez) anitta - veneno voil - sufjan stevens - lonely man winter - doveman mix desiigner - overseas (featuring lil pump) lennon stella - fortress role model - play part zac brown band - someone used know sasha sloan - older killumantii - envious (featuring juicy j) mio - lost k/da - pop/stars (featuring madison beer) sg lewis - (featuring totally enormous extinct dinosaurs) lucky daye - late night steve aoki - broken (featuring blink-) foster people - worst nites fever - burn - week mr eazi - chicken curry (featuring sneakbo) steve void - paranoid (featuring anna yvette) smino - fenty sex (featuring dreezy) illenium - god damnit (featuring call karizma) little mix - told wombats - oceans grady - garden (featuring cuco, melvv) age.sex.location - elephants james barker band - never billie marten - blue sea, red sea bel heir - hey surve - going home jpegmafia - puff daddy (featuring kenny beats) lewis capaldi - someone loved fickle friends - san francisco busu - k coffin yxng bane - needed time earl sweatshirt - nowherego jban$turnt - magical poof (featuring lil yachty) rothstein - carnations (featuring teddybear) yellow days - what's for? wifisfuneral - alone facetat cnco - hey dj (featuring meghan trainor) trkm - another place marc scibilia - waiting fleet foxes - hot hot rays smashing pumpkins - knights malta jp saxe - barcelona ella vos - cast away dallask - looking love westside cast - champagne high backstreet boys - chances anna clendening - invisible rmans - oxygen peach tree rascals - someday olivia o'brien - care less ice cube - arrest president hot flash heat wave - dreaming u rkcb - know love clay - orange mobley - swoon:stagger ashley tisdale - voices head aeris roves - running thru utada hikaru - proud (l remix) (featuring xzt, suboi, ek) andrew mcmahon - paper rain amir obe - famous margolnick - annie lasso revivalists - change parlor mob - house cards quix - giving (featuring jaden michaels) sabrina carpenter - sue emily king - look herizen - come house - lunice remix (featuring lunice) phem - jump matt simons - amy's song kelly clarkson - never enough ari lennox - shades choke elohim - connect lon - falling chel - name austin burke - slower crowder - crushing snakes - featuring taya gaukrodger paulo londra - adan eva messengers - maybe ok david mann - good love (featuring tamela mann) tommy genesis - bad boy deathbyromy - slang - see (featuring yeah boy) royse - madness"
431,Needy,Ariana Grande,92,14,60,4,"take long hit back can't promise ill react say least i'll wait lately, i've roller coaster tryna get hold emotions know need close ima scream shout love passionate, give fucks admit  lil' messed hide  dressed  obsessive love hard good overthinking heart even think got far, far? needy, way damn needy needy, tell good feels needed needy, hard please know feels good needed sorry  lot (yeah) sorry think  enough sorry say sorry way much go ahead call selfish (selfish) damage, cant help (help it) trust need touch ima scream shout love passionate, give fucks admit im lil' messed hide  dressed  obsessive love hard good overthinking heart even think got far, far? needy, way damn needy needy, tell good feels needed needy, hard please know feels good needed"
432,Love Someone,Lukas Graham,96,70,89,10,"days wake pinch me, someone else  scared, yeah,  still scared dream 'cause still look perfect days go even worst ones, make smile i'd stop world gave us time 'cause love someone open heart love someone make room love someone afraid lose 'em probably never loved someone like probably never loved someone like say love way make feel everything becomes real scared, no, scared 'cause need still look perfect days go even worst ones, make smile i'd stop world gave us time 'cause love someone open heart love someone make room love someone afraid lose 'em probably never loved someone like probably never loved someone like life thought it'd hard find one, 'til found find bittersweet 'cause gave something lose love someone open heart love someone make room love someone afraid lose 'em probably never loved someone like probably never loved someone like probably never loved someone like"
433,Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,100,100,0,1,"want it, want it, want it-it-it-it chilly, chilly, chilly, chilly (yeah, what?) wake up, count chilly (what?)  up, count chilly (up) tell mama hit lick tell mama hit lick (lick) huh, mama, hit lick mama, hit lick im comin', baby, send address progress, never digress (never) last one pass fly test (test) eat rappers, digest fuck piece, want whole pie graph (yeah) money taller giraffe (tall) feng shui mic stand ever two one-night stands? (have ever?) im emperor, sinister somewhere smokin' indica (mmm) fox like vivica (mmm) pray meals, spiritual wack ace, bet big face (yeah) want spot, wanna switch place (yeah) want gas, wanna sip ace (yeah) baow, baow, straight face (bow)  takin' lawyer whole briefcase (whole) makin' play police face like, 'man, fresh' like, 'go, dj' (go) played new shit like, 'no, dj' (no) go skip buy house flip chilly, chilly (chilly), chilly (chilly), chilly (count it) wake up, count chilly  up, count chilly tell mama hit lick (hit it) tell mama hit lick huh, mama, hit lick (huh) mama, hit lick (ahh) fall bitch, ball bitch commas hit floor, crawl bitch threw hundred more, stall bitch vmonos, applaud bitch c-notes, b-notes, p-notes bitch man, y'all bitch, y'all familiar yall immigrants, law bitch, fuck opp, competitor got bitch last night right, get two popped bands dance waist hit face, thats editor take pics jet, lil nigga shit regular, gs backyard sit roody-poos nosebleed pockets holding big protein big, big protein (protein) leveled past fab five favorite rapper desperate housewives playin get chastised milk 'em 'til  satisfied didnt fall it, strategize switch flow 'cause know niggas like identity theft oh, got like me? (say less) oh, pop like me? (say less) mask keep nigga (in check) huh, swag keep nigga (with checks) huh, tags wall (success) huh, played underdog, flex (now flex) chilly (chilly), chilly (chilly), chilly (chilly), chilly (chilly) wake up, count chilly  up, count chilly tell mama hit lick (lick) tell mama hit lick mama, hit lick mama, hit lick mama, hit lick mama, hit lick"
434,Backin' It Up,Pardison Fontaine Featuring Cardi B,48,40,47,20,"ahhh cardi! turn around, fuck way bust down, turn around, fuck way bust down, turn around, fuck itlook let's get straight, girl, need nigga nothin' lookin' better every day, got benjamin button claimin' got girl, know niggas frontin' need bitch comin' woman (ayy) boss, hate niggas waste time (ayy) pretty paused facetime (ayy) damn,  statin' facts hate like hate niggas tell , 'relax' fuck mean, 'relax'? want somethin' physical (word) since met someone original (word) spend time drinkin' wine livin' room good pussy, can't find one give (what?) issa, issa shame (issa shame) see me, see squad, issa gang (issa gang) see him, issa bum, issa lame (issa lame) issa difference 'tween what's-his-name (ayy) swear god, word mase (ayy) a drink henny face (ayy) fuck condom, a bring saran wrap can't let good pussy go waste (ayy) back, back-backin'  king talkin' shit, backin' (ayy) back, back-backin' throw shit here, girl, that's (what say?) know go get bag, ? (ayy) know make bitch mad, (ayy) make ex wanna get back, that's fact say louder bitches back (ayy) know go get bag, (don't i) know get bitch mad, (yeah) make ex wanna get back, that's fact say louder bitches back (ayy) back, back-backin'  queen talkin' shit,  backin' (yeah) back, back-backin' throw money here, nigga, that's (what say?) look, said gettin' head, get-gettin' head ran bitch, almost pissed leg bitches think fuckin' me, must sick head chill beef get chicken instead? got crown, shut down, hype dead, let lay bring life bitch lookin' good sin, call cinnamon cardi b, bad bitch, fuckin' synonyms see winnin' (see winnin'), see got (see got it) see  still bank makin' deposits (cash) see switched sides solid (who solid) see stuck code forgot talk it, bitch know go get bag, ? (ayy) know make bitch mad, (ayy) make ex wanna get back, that's fact say louder bitches back (ayy) know go get bag, (don't i) know get bitch mad, (yeah) make ex wanna get back, that's fact say louder bitches back (ayy) back, back-backin'  king talkin' shit, backin' (ayy) back, back-backin' throw shit here, girl, that's (what say?)"
435,Legacy,Offset Featuring Travis Scott & 21 Savage,49,49,0,1,"mafia! gon' do? gon' do? gon' do? wrist ooh (ooh) wrist on, yeah, yeah yeah, yeah (hey) southside track, yeah put blindsides eyes ng nigga, feel money (i feel racks) got ng niggas pull opps, kill money (they slide, slide) ever felt zombie? (who?) yo' body gon' smell like vomit (ooh, ooh, ooh) done went bad (bad) ever since got checks run get mad, that's react (react) throwin' back, done threw right back spent k flat (flat) worry nigga, get part clip got right back (right back) way, way going down, going can't hold nothing back, hold can't fit pain styro' cup always talk 'cause us always deep mind, know trust rolling 'round town feeling woozy tryna ride side, get choosy know trying use (hey) pimpin' ain't easy (pimpin'), hoppin' 'ghini ('ghini) wishes came true like genie (wishes) money comin' blue print nigga offset (brr-brr) fuck sentence (rah, rah, rah, rah) see minute (see minute) see rolls rented (rolls) nigga tried try like gimmick (exposed) got number one hear (number one) heard that? trappin' take bird bath (yeah) guns me, going wrong path  humble money cry beat game, a grab (grab it) stock paints cabin (stocked out) drippin' clean like napkin (drip-drip-drip) bean rack (the bean) money racks lap 'em (woo) give 'em formula, cap 'em (nah)  jungle,  animal (rah) bitches ain't shit, scandalous (woo) knock head off, commanded (boo)  bando, daddy abandoned (bando) momma tried cover bandage (mama)  first one lead whole legacy (legacy) put blindsides eye, ng nigga, feel money (i feel racks) got ng niggas pull opps, kill money (they slide, slide) ever felt zombie? (who?) yo' body gon' smell like vomit (ooh) thought would fail, conquer (fail) swim sharks, piranhas (piranha) tattletale, informant (twelve) move like boss,  important (boss) fuel rari, performance (skrrt) left streets like orphan (streets) strong wanted forfeit (strong) got famous rich,  corporate (uh) way, way going down, going can't hold nothing back, hold can't fit pain styro cup always talk 'cause us always deep mind, know trust rolling 'round town feeling woozy tryna ride side, get choosy know trying use shooters gon' slide quiet, ain't nobody (on god) nut titties booty, cleanin' residue lip (straight up) every nigga cross me, dawg, god, a catch him, care years () lost bruddas street, gon' slide, kill some, go home shed tears (true story) time ride (slide, slide, slide) catch blicky (blicky) nigga took stand, mickey (mickey) niggas get tellin' sticky (sticky) can't believe niggas tryna diss (what?) show fast a get (on god) find body mississippi (on god) richard mille cost half ticket, dawg (half ticket) need open bunny ranch 'cause got bitches, dawg (on god) car ain't gon' shoot? another witness, dawg (lil' bitch) big ass, cheap ass veneers yall need see another dentist dog (straight up) fuckin' 'set like way back, dawg shit go way back (way, way back) disrespect, play get shot wave cap (whole lotta shots) house playin' 'tendo block j's (on god) a stand say say chest say that, nigga (, ) (pussy, bitch) put blindsides eye, ng nigga, feel money (i feel racks) got ng niggas pull opps, kill money (they slide, slide) ever felt zombie? (who?) yo' body gon' smell like vomit (ooh) thought would fail, conquer (fail) swim sharks, piranhas (piranha, rah) tattletale, informants (twelve) move like boss,  important (boss) fuel rari, performance (skrrt) left streets like orphan (streets) strong wanted forfeit (strong) got famous rich,  corporate (uh, hey)"
436,I'll Never Love Again,Lady Gaga,62,36,0,7,"wish could, could've said goodbye would've said wanted maybe even cried knew, would last time would've broke heart two tryin' save part want feel another touch wanna start another fire wanna know another kiss name falling lips wanna give heart away another stranger let another day begin even let sunlight no, i'll never love i'll never love ooouuu ooou oou oh first met never thought would fall never thought i'd find lying arms want pretend true oh baby, gone 'cause world keeps turning, turning, turning  movin' want feel another touch wanna start another fire wanna know another kiss name falling lips wanna give heart away another stranger let another day begin even let sunlight no, i'll never love wanna know feeling unless wanna waste moment, ooh wanna give somebody else better part would rather wait hoooo ouuu want feel another touch want start another fire want know another kiss baby unless lips want give heart away another stranger let another day begin even let sunlight oooo i'll never love love i'll never love i'll never love swear can't wish could i'll never love i'll never love oo oo oo oo hmmm"
