Title,Artist,Rank,Peak Position,Last Position,Weeks
"Ecstasy","Young Thug Featuring Machine Gun Kelly",92,92,0,1
"Uno","Ambjaay",94,82,89,3
"Daddy","Blueface & Rich The Kid",95,78,78,4
"Takeaway","The Chainsmokers & Illenium Featuring Lennon Stella",98,69,0,2
"Happier","Marshmello & Bastille",30,2,26,52
"Sweet But Psycho","Ava Max",42,10,34,35
"Better","Khalid",45,8,42,48
"Going Bad","Meek Mill Featuring Drake",48,6,47,37
"Talk You Out Of It","Florida Georgia Line",58,57,57,26
"Gold Roses","Rick Ross Featuring Drake",59,39,73,3
"Just Us","DJ Khaled Featuring SZA",69,43,59,13
"Small Talk","Katy Perry",81,81,0,1
"Night Falls","Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",84,84,0,1
"Snake Skin","Trippie Redd",87,87,0,1
"24/7","Meek Mill Featuring Ella Mai",88,54,83,19
"Love Ain't","Eli Young Band",91,50,87,18
"Sanguine Paradise","Lil Uzi Vert",94,28,0,16
"Rodeo","Lil Nas X & Cardi B",95,22,96,8
"Tap","NAV Featuring Meek Mill",97,87,92,10
"La La Land","Bryce Vine Featuring YG",98,75,91,11
"Que Pretendes","J Balvin & Bad Bunny",99,65,0,5
"Single Again","Big Sean",100,64,84,3
"Worth It","YK Osiris",48,48,53,25
"Shallow","Lady Gaga & Bradley Cooper",49,1,47,45
"Trust Issues","Drake",58,58,0,1
"How About Now","Drake",60,60,0,1
"The Motion","Drake",61,61,0,1
"Dreams Money Can Buy","Drake",68,68,0,1
"Club Paradise","Drake",85,85,0,1
"Antisocial","Ed Sheeran & Travis Scott",88,37,78,4
"Fear Inoculum","Tool",93,93,0,1
"Days In The East","Drake",95,95,0,1
"Before I Let Go","Beyonce",100,65,87,16
"High Hopes","Panic! At The Disco",32,4,34,52
"Sicko Mode","Travis Scott",50,1,46,52
"Cross Me","Ed Sheeran Featuring Chance The Rapper & PnB Rock",77,25,61,10
"Leave Me Alone","NF",85,85,0,1
"The Search","NF",86,70,0,2
"MEGATRON","Nicki Minaj",92,20,100,5
"All Day Long","Chance The Rapper Featuring John Legend",94,94,0,1
"Do You Remember","Chance The Rapper Featuring Death Cab For Cutie",95,95,0,1
"Calma","Pedro Capo X Farruko",96,71,95,20
"Cool","Jonas Brothers",97,27,84,17
"Nightmare","Halsey",100,15,81,11
"Rumor","Lee Brice",39,25,39,20
"Act Up","City Girls",40,26,38,21
"GIRL","Maren Morris",44,44,52,21
"Con Calma","Daddy Yankee & Katy Perry Featuring Snow",48,22,46,25
"Middle Child","J. Cole",49,4,40,27
"Brown Skin Girl","Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",76,76,0,1
"Under The Sun","Dreamville Featuring J. Cole, Lute & DaBaby",88,44,66,3
"Mood 4 Eva","Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",90,90,0,1
"South Of The Border","Ed Sheeran Featuring Camila Cabello & Cardi B",99,53,53,2
"Pure Water","Mustard & Migos",45,23,39,25
"Remember The Name","Ed Sheeran Featuring Eminem & 50 Cent",57,57,0,1
"Walk Me Home","P!nk",69,49,70,20
"Look What God Gave Her","Thomas Rhett",71,32,65,20
"BLOW","Ed Sheeran With Chris Stapleton & Bruno Mars",73,60,60,2
"Like A Rodeo","Kane Brown",90,90,0,1
"Spirit","Beyonce",98,98,0,1
"Best Part Of Me","Ed Sheeran Featuring YEBBA",99,99,0,1
"Wake Up","Travis Scott",100,30,93,7
"Eastside","benny blanco, Halsey & Khalid",37,9,36,52
"Look Back At It","A Boogie Wit da Hoodie",46,27,48,31
"Down Bad","Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",64,64,0,2
"Good As You","Kane Brown",71,36,62,20
"Costa Rica","Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",75,75,0,1
"Out The Mud","Lil Baby Featuring Future",85,70,70,3
"Girls Need Love","Summer Walker X Drake",90,37,90,20
"Mother's Daughter","Miley Cyrus",92,54,83,3
"Ocean Eyes","Billie Eilish",99,84,100,20
"Don't Check On Me","Chris Brown Featuring Justin Bieber & Ink",67,67,0,1
"Homicide","Logic Featuring Eminem",71,5,0,6
"Please Me","Cardi B & Bruno Mars",72,3,65,20
"When I Grow Up","NF",78,78,0,1
"Eyes On You","Chase Rice",88,38,84,20
"Bacc At It Again","Yella Beezy, Gucci Mane & Quavo",98,78,78,6
"Break Up With Your Girlfriend, I'm Bored","Ariana Grande",49,2,41,20
"Here With Me","Marshmello Featuring CHVRCHES",87,31,79,16
"Love Someone","Brett Eldredge",88,52,71,10
"Big Ole Freak","Megan Thee Stallion",94,65,93,12
"You Stay","DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",96,44,0,4
"Baila Baila Baila","Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA",97,69,96,9
"Omerta","Drake",99,35,35,2
"Summer Days","Martin Garrix Featuring Macklemore & Patrick Stump",100,100,0,1
"When The Party's Over","Billie Eilish",45,29,42,32
"Envy Me","Calboy",47,31,41,27
"Miss Me More","Kelsea Ballerini",70,47,56,20
"Sanctuary","Joji",80,80,0,1
"Rescue Me","Marshmello Featuring A Day To Remember",92,92,0,1
"Te Robare","Nicky Jam X Ozuna",94,91,91,6
"Robbery","Juice WRLD",98,27,96,18
"Racks In The Middle","Nipsey Hussle Featuring Roddy Ricch & Hit-Boy",99,26,0,11
"Beautiful Crazy","Luke Combs",45,21,45,31
"Close Friends","Lil Baby",48,28,49,33
"Bury A Friend","Billie Eilish",58,14,53,20
"Put A Date On It","Yo Gotti Featuring Lil Baby",79,46,73,20
"Heaven","Avicii",83,83,0,1
"Please Tell Me","Future",87,87,0,1
"On My Way To You","Cody Johnson",88,78,78,16
"Amor Genuino","Ozuna",92,92,0,1
"XanaX Damage","Future",98,98,0,1
"Government Official","Future",99,99,0,1
"Murder On My Mind","YNW Melly",69,14,61,20
"Isis","Joyner Lucas Featuring Logic",79,59,59,2
"Boy With Luv","BTS Featuring Halsey",90,8,81,8
"Shut Up About Politics","John Rich Featuring The Five",91,91,0,1
"Under Enemy Arms","Trippie Redd",94,94,0,1
"Night Shift","Jon Pardi",100,56,88,16
"A Lot","21 Savage",49,12,46,23
"Thotiana","Blueface",50,8,50,20
"Higher","DJ Khaled Featuring Nipsey Hussle & John Legend",77,21,21,2
"Who Do You Love","The Chainsmokers Featuring 5 Seconds Of Summer",89,52,73,16
"Don't Call Me Up","Mabel",90,66,79,10
"Earth","Lil Dicky",91,17,78,6
"HP","Maluma",96,96,0,1
"Mixed Personalities","YNW Melly Featuring Kanye West",98,42,0,18
"Paradise","Bazzi",99,91,0,3
"Triggered","Jhene Aiko",100,51,94,3
"Girls Like You","Maroon 5 Featuring Cardi B",35,1,32,52
"I Think","Tyler, The Creator",51,51,0,1
"Celebrate","DJ Khaled Featuring Travis Scott & Post Malone",52,52,0,1
"Jealous","DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",57,57,0,1
"Running Out Of Time","Tyler, The Creator",65,65,0,1
"Igor's Theme","Tyler, The Creator",67,67,0,1
"New Magic Wand","Tyler, The Creator",70,70,0,1
"A Boy Is A Gun","Tyler, The Creator",74,74,0,1
"What's Good","Tyler, The Creator",85,85,0,1
"Puppet","Tyler, The Creator",88,88,0,1
"Weather The Storm","DJ Khaled Featuring Meek Mill & Lil Baby",91,91,0,1
"Here Tonight","Brett Young",98,42,74,20
"Be Alright","Dean Lewis",44,23,37,29
"Drip Too Hard","Lil Baby & Gunna",46,4,41,35
"Thank U, Next","Ariana Grande",49,1,48,28
"Baby Shark","Pinkfong",57,32,62,20
"Make It Sweet","Old Dominion",80,56,76,20
"Shot Clock","Ella Mai",88,62,92,16
"I'm So Tired...","Lauv & Troye Sivan",89,81,81,6
"You Should See Me In A Crown","Billie Eilish",92,41,86,8
"SOS","Avicii Featuring Aloe Blacc",94,68,0,4
"Wish You Were Gay","Billie Eilish",96,31,94,11
"That's A Rack","Lil Uzi Vert",97,76,83,5
"Rule The World","2 Chainz Featuring Ariana Grande",98,94,0,2
"Die Young","Roddy Ricch",99,99,99,2
"Close To Me","Ellie Goulding X Diplo Featuring Swae Lee",43,24,36,25
"You Say","Lauren Daigle",45,29,43,43
"Swervin","A Boogie Wit da Hoodie Featuring 6ix9ine",63,38,58,20
"Power Is Power","SZA, The Weeknd & Travis Scott",90,90,92,2
"Middle Child","PnB Rock & XXXTENTACION",91,91,0,1
"I've Been Waiting","Lil Peep & iLoveMakonnen Featuring Fall Out Boy",95,62,78,9
"Secreto","Anuel AA & Karol G",97,68,89,11
"Faucet Failure","Ski Mask The Slump God",100,87,93,11
"Youngblood","5 Seconds Of Summer",50,7,50,48
"Floating","ScHoolboy Q Featuring 21 Savage",67,67,0,1
"CHopstix","ScHoolboy Q + Travis Scott",85,85,0,1
"Light It Up","Marshmello, Tyga & Chris Brown",90,90,0,1
"Numb Numb Juice","ScHoolboy Q",95,55,0,2
"Love Me Anyway","P!nk Featuring Chris Stapleton",96,96,0,1
"Stop Snitching","YG",98,98,0,1
"Kill This Love","BLACKPINK",100,41,86,4
"Better Now","Post Malone",42,3,39,52
"Bad Liar","Imagine Dragons",85,56,80,9
"Slide","French Montana Featuring Blueface & Lil Tjay",90,90,0,1
"Saturday Nights","Khalid & Kane Brown",91,57,86,12
"Pure Cocaine","Lil Baby",92,46,0,16
"This Is It","Scotty McCreery",94,42,97,20
"My Strange Addiction","Billie Eilish",95,43,88,4
"Let Me Down Slowly","Alec Benjamin + Alessia Cara",97,79,99,9
"Xanny","Billie Eilish",98,35,90,4
"One That Got Away","Michael Ray",99,67,87,9
"MIA","Bad Bunny Featuring Drake",45,5,47,27
"Tequila","Dan + Shay",49,21,38,50
"Money","Cardi B",50,13,44,26
"Blue On Black","Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",66,66,0,1
"Double Up","Nipsey Hussle Featuring Belly & DOM KENNEDY",82,65,75,3
"Undrunk","FLETCHER",83,61,77,6
"Last Time That I Checc'd","Nipsey Hussle Featuring YG",92,76,76,3
"There Was This Girl","Riley Green",98,70,70,8
"My Bad","Khalid",55,55,0,3
"Outta My Head","Khalid With John Mayer",58,58,0,1
"Monopoly","Ariana Grande & Victoria Monet",69,69,70,2
"Don't Pretend","Khalid x SAFE",84,84,0,1
"Bad Luck","Khalid",87,87,0,1
"All The Good Girls Go To Hell","Billie Eilish",92,46,46,2
"Inmortal","Aventura",95,95,0,1
"Dedication","Nipsey Hussle Featuring Kendrick Lamar",97,93,93,2
"Victory Lap","Nipsey Hussle Featuring Stacy Barthe",100,100,0,1
"ZEZE","Kodak Black Featuring Travis Scott & Offset",49,2,38,25
"I Love You","Billie Eilish",53,53,0,1
"Ilomilo","Billie Eilish",62,62,0,1
"Listen Before I Go","Billie Eilish",63,63,0,1
"8","Billie Eilish",79,79,0,1
"Twerk","City Girls Featuring Cardi B",83,29,50,13
"Lovely","Billie Eilish & Khalid",85,64,96,22
"I Can't Get Enough","benny blanco, Tainy, Selena Gomez & J Balvin",91,66,85,5
"Millionaire","Chris Stapleton",95,47,64,17
"Girl Like You","Jason Aldean",98,46,76,19
"I Like It","Cardi B, Bad Bunny & J Balvin",45,1,44,51
"Lucid Dreams","Juice WRLD",47,2,40,46
"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",48,11,42,26
"Down To The Honkytonk","Jake Owen",65,65,81,13
"Price On My Head","NAV Featuring The Weeknd",72,72,0,1
"Confessions Of A Dangerous Mind","Logic",78,78,0,1
"Take It From Me","Jordan Davis",79,46,63,13
"Splashin","Rich The Kid",80,80,0,5
"I","Lil Skies",82,39,71,4
"Hear Me Calling","Juice WRLD",86,38,60,4
"Undecided","Chris Brown",91,35,73,12
"Calling My Spirit","Kodak Black",94,46,92,17
"Last Hurrah","Bebe Rexha",98,98,0,1
"Empty","Juice WRLD",99,41,67,3
"Love Wins","Carrie Underwood",100,83,100,10
"Sally Walker","Iggy Azalea",62,62,0,1
"Ella Quiere Beber","Anuel AA & Romeo Santos",83,61,81,20
"Fast","Juice WRLD",86,47,47,2
"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black",48,11,44,26
"Maze","Juice WRLD",65,65,0,1
"What Makes You Country","Luke Bryan",90,54,66,11
"Flaws And Sins","Juice WRLD",91,91,0,1
"Nights Like This","Kehlani Featuring Ty Dolla $ign",95,67,79,9
"Always Remember Us This Way","Lady Gaga",100,41,64,9
"Leave Me Alone","Flipp Dinero",45,20,37,25
"Mo Bamba","Sheck Wes",47,6,43,28
"Burn Out","Midland",63,63,69,9
"Red Room","Offset",73,49,50,3
"Whip","2 Chainz Featuring Travis Scott",75,75,0,1
"Armed And Dangerous","Juice WRLD",82,44,79,17
"Needy","Ariana Grande",92,14,60,4
